2025-12-16 18:05:15.463561 | DEDUP COMPLETE | kept=3137 | dup=1611
2025-12-18 15:27:07.629565 | DEDUP COMPLETE | kept=880 | dup=0
2025-12-18 15:56:50.776347 | DEDUP COMPLETE | kept=880 | dup=0
2025-12-18 15:57:32.580919 | DEDUP COMPLETE | kept=880 | dup=0
2025-12-18 16:07:31.761543 | DEDUP COMPLETE | kept=0 | dup=0
2025-12-18 16:09:48.100526 | DEDUP COMPLETE | kept=0 | dup=0
2025-12-18 17:56:22.768474 | DEDUP COMPLETE | kept=5937 | dup=411
2025-12-18 17:58:46.379218 | DEDUP COMPLETE | kept=5937 | dup=411
2025-12-18 17:59:01.840644 | DEDUP COMPLETE | kept=5937 | dup=413
2025-12-18 17:59:27.856855 | DEDUP COMPLETE | kept=5937 | dup=411
2025-12-18 18:06:36.467624 | DEDUP COMPLETE | kept=5937 | dup=411
2025-12-18 18:06:53.421991 | DEDUP COMPLETE | kept=5937 | dup=412
2025-12-18 18:07:25.474788 | DEDUP COMPLETE | kept=5937 | dup=412
2025-12-24 04:11:41.702127 | DEDUP COMPLETE | kept=1 | dup=8681
